Provider,State,Weight,Technology,Download Bandwidth Mbps,Upload Bandwidth Mbps,Usage Allowance GB,Monthly Charge,Other Mandatory Charge,Surcharge,Total Charge,Total Charge Spread,Model Data
"AirCanopy Internet Services, Inc.",TEXAS,13694.3686823042,Fixed wireless,15,3,250,65.95,0,3.92,69.87,0,Yes
"Airosurf Communications, Inc.",OKLAHOMA,13694.3686823042,Fixed wireless,8,3,Unlimited,99.95,0,0,99.95,0,Yes
"Airosurf Communications, Inc.",OKLAHOMA,13694.3686823042,Fixed wireless,6,2.5,Unlimited,69.95,0,0,69.95,0,Yes
"Airosurf Communications, Inc.",OKLAHOMA,13694.3686823042,Fixed wireless,4,1.5,Unlimited,49.95,0,0,49.95,0,Yes
"AlasConnect, LLC",ALASKA,598,Fixed wireless,4,1,Unlimited,105,0,0,105,0,Yes
"AlasConnect, LLC",ALASKA,598,Fixed wireless,3,0.512,Unlimited,85,0,0,85,0,Yes
"AlasConnect, LLC",ALASKA,17.5384615384616,Fixed wireless,1,0.256,Unlimited,40,0,0,40,0,No
"AlasConnect, LLC",ALASKA,598,Fixed wireless,1,0.256,Unlimited,40,0,0,40,0,No
"AlasConnect, LLC",ALASKA,74,Fixed wireless,2,0.512,Unlimited,65,0,0,65,0,Yes
"AlasConnect, LLC",ALASKA,216,Fixed wireless,3,0.512,Unlimited,85,0,0,85,0,Yes
"AlasConnect, LLC",ALASKA,216,Fixed wireless,4,1,Unlimited,105,0,0,105,0,Yes
"AlasConnect, LLC",ALASKA,598,Fixed wireless,1.5,0.512,Unlimited,50,0,0,50,0,No
"AlasConnect, LLC",ALASKA,598,Fixed wireless,2,0.512,Unlimited,65,0,0,65,0,Yes
"AlasConnect, LLC",ALASKA,74,Fixed wireless,3,0.512,Unlimited,85,0,0,85,0,Yes
"AlasConnect, LLC",ALASKA,17.5384615384616,Fixed wireless,1.5,0.512,Unlimited,50,0,0,50,0,No
"AlasConnect, LLC",ALASKA,17.5384615384616,Fixed wireless,2,0.512,Unlimited,65,0,0,65,0,Yes
"AlasConnect, LLC",ALASKA,17.5384615384616,Fixed wireless,3,0.512,Unlimited,85,0,0,85,0,Yes
"AlasConnect, LLC",ALASKA,17.5384615384616,Fixed wireless,4,1,Unlimited,105,0,0,105,0,Yes
"AlasConnect, LLC",ALASKA,216,Fixed wireless,2,0.512,Unlimited,65,0,0,65,0,Yes
"AlasConnect, LLC",ALASKA,178,Fixed wireless,2,0.512,Unlimited,65,0,0,65,0,Yes
"AlasConnect, LLC",ALASKA,74,Fixed wireless,1.5,0.512,Unlimited,50,0,0,50,0,No
"AlasConnect, LLC",ALASKA,216,Fixed wireless,1.5,0.512,Unlimited,50,0,0,50,0,No
"AlasConnect, LLC",ALASKA,17.5384615384615,Fixed wireless,1.5,0.512,Unlimited,50,0,0,50,0,No
"AlasConnect, LLC",ALASKA,216,Fixed wireless,1,0.256,Unlimited,40,0,0,40,0,No
"AlasConnect, LLC",ALASKA,178,Fixed wireless,4,1,Unlimited,105,0,0,105,0,Yes
"AlasConnect, LLC",ALASKA,74,Fixed wireless,4,1,Unlimited,105,0,0,105,0,Yes
"AlasConnect, LLC",ALASKA,74,Fixed wireless,1,0.256,Unlimited,40,0,0,40,0,No
"AlasConnect, LLC",ALASKA,17.5384615384615,Fixed wireless,1,0.256,Unlimited,40,0,0,40,0,No
"AlasConnect, LLC",ALASKA,178,Fixed wireless,1.5,0.512,Unlimited,50,0,0,50,0,No
"AlasConnect, LLC",ALASKA,178,Fixed wireless,3,0.512,Unlimited,85,0,0,85,0,Yes
"AlasConnect, LLC",ALASKA,17.5384615384615,Fixed wireless,3,0.512,Unlimited,85,0,0,85,0,Yes
"AlasConnect, LLC",ALASKA,17.5384615384615,Fixed wireless,4,1,Unlimited,105,0,0,105,0,Yes
"AlasConnect, LLC",ALASKA,17.5384615384615,Fixed wireless,4,1,Unlimited,105,0,0,105,0,Yes
"AlasConnect, LLC",ALASKA,17.5384615384615,Fixed wireless,3,0.512,Unlimited,85,0,0,85,0,Yes
"AlasConnect, LLC",ALASKA,178,Fixed wireless,1,0.256,Unlimited,40,0,0,40,0,No
"AlasConnect, LLC",ALASKA,17.5384615384615,Fixed wireless,2,0.512,Unlimited,65,0,0,65,0,Yes
"AlasConnect, LLC",ALASKA,17.5384615384615,Fixed wireless,1.5,0.512,Unlimited,50,0,0,50,0,No
"AlasConnect, LLC",ALASKA,17.5384615384615,Fixed wireless,1,0.256,Unlimited,40,0,0,40,0,No
"AlasConnect, LLC",ALASKA,17.5384615384615,Fixed wireless,2,0.512,Unlimited,65,0,0,65,0,Yes
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,7806.62857142858,DSL,25,2,Unlimited,79.99,0,0,79.99,0,Yes
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,7806.62857142858,DSL,18,2,Unlimited,79.99,0,0,79.99,0,Yes
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,7806.62857142858,DSL,15,1,Unlimited,79.99,0,0,79.99,0,Yes
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,7806.62857142858,DSL,50,10,Unlimited,79.99,0,0,79.99,0,Yes
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,7806.62857142858,DSL,40,8,Unlimited,79.99,0,0,79.99,0,Yes
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,7806.62857142858,DSL,30,6,Unlimited,79.99,0,0,79.99,0,Yes
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,7806.62857142858,DSL,10,1,Unlimited,79.99,0,0,79.99,0,Yes
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,7806.62857142857,DSL,50,10,Unlimited,79.99,0,0,79.99,0,Yes
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,7806.62857142857,DSL,40,8,Unlimited,79.99,0,0,79.99,0,Yes
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,7806.62857142857,DSL,15,1,Unlimited,79.99,0,0,79.99,0,Yes
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,7806.62857142857,DSL,30,6,Unlimited,79.99,0,0,79.99,0,Yes
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,7806.62857142857,DSL,10,1,Unlimited,79.99,0,0,79.99,0,Yes
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,7806.62857142857,DSL,25,2,Unlimited,79.99,0,0,79.99,0,Yes
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,7806.62857142857,DSL,18,2,Unlimited,79.99,0,0,79.99,0,Yes
All Points Broadband,VIRGINIA,13694.3686823042,Fixed wireless,6,2,Unlimited,44.95,0,0,44.95,0,Yes
All Points Broadband,VIRGINIA,13694.3686823042,Fixed wireless,15,4,Unlimited,89.95,0,0,89.95,0,Yes
All Points Broadband,VIRGINIA,13694.3686823042,Fixed wireless,10,3,Unlimited,59.95,0,0,59.95,0,Yes
All Points Broadband,VIRGINIA,13694.3686823042,Fixed wireless,2,1,Unlimited,34.95,0,0,34.95,0,Yes
"AMA Communications, L.L.C.",TEXAS,13694.3686823042,Fixed wireless,1.5,0.768,Unlimited,59.9,0,0,59.9,0,No
"AT&T Services, Inc.",CALIFORNIA,477940.95,DSL,75,8,1000,80,0,0,80,0,Yes
"AT&T Services, Inc.",CALIFORNIA,1911763.8,DSL,6,1,150,59,0,0,59,0,Yes
"AT&T Services, Inc.",CALIFORNIA,318627.3,DSL,6,1,1000,50,0,0,50,0,Yes
"AT&T Services, Inc.",CALIFORNIA,2120849.06666666,DSL,6,1,1000,50,0,0,50,0,Yes
"AT&T Services, Inc.",CALIFORNIA,1911763.8,DSL,3,1,150,54,0,0,54,0,Yes
"AT&T Services, Inc.",CALIFORNIA,318627.3,FTTH,6,1,1000,50,0,0,50,0,Yes
"AT&T Services, Inc.",CALIFORNIA,637254.6,DSL,3,1,1000,50,0,0,50,0,Yes
"AT&T Services, Inc.",CALIFORNIA,159313.65,DSL,24,3,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",CALIFORNIA,159313.65,FTTH,18,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",CALIFORNIA,159313.65,FTTH,24,3,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",CALIFORNIA,6362547.19999999,DSL,6,1,150,59,0,0,59,0,Yes
"AT&T Services, Inc.",CALIFORNIA,477940.95,FTTH,45,6,1000,70,0,0,70,0,Yes
"AT&T Services, Inc.",CALIFORNIA,477940.95,FTTH,75,8,1000,80,0,0,80,0,Yes
"AT&T Services, Inc.",CALIFORNIA,6362547.19999999,DSL,45,6,1000,70,0,0,70,0,Yes
"AT&T Services, Inc.",CALIFORNIA,477940.95,DSL,45,6,1000,70,0,0,70,0,Yes
"AT&T Services, Inc.",CALIFORNIA,1911763.8,FTTH,1000,940,Unlimited,119,0,0,119,0,Yes
"AT&T Services, Inc.",CALIFORNIA,6362547.19999999,DSL,3,1,150,54,0,0,54,0,Yes
"AT&T Services, Inc.",CALIFORNIA,2120849.06666666,DSL,18,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",CALIFORNIA,955881.9,DSL,1.5,0.384,150,49,0,0,49,0,No
"AT&T Services, Inc.",CALIFORNIA,2120849.06666666,DSL,0.768,0.384,1000,50,0,0,50,0,No
"AT&T Services, Inc.",CALIFORNIA,955881.9,DSL,0.768,0.384,150,49,0,0,49,0,No
"AT&T Services, Inc.",CALIFORNIA,2120849.06666666,DSL,3,1,1000,50,0,0,50,0,Yes
"AT&T Services, Inc.",CALIFORNIA,2120849.06666666,DSL,24,3,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",CALIFORNIA,159313.65,FTTH,12,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",CALIFORNIA,2120849.06666666,DSL,12,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",CALIFORNIA,159313.65,DSL,12,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",CALIFORNIA,159313.65,DSL,18,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",CALIFORNIA,6362547.19999999,DSL,75,8,1000,80,0,0,80,0,Yes
"AT&T Services, Inc.",CALIFORNIA,1911763.8,FTTH,100,100,1000,99,0,0,99,0,Yes
"AT&T Services, Inc.",CALIFORNIA,3181273.59999999,DSL,0.768,0.384,150,49,0,0,49,0,No
"AT&T Services, Inc.",CALIFORNIA,3181273.59999999,DSL,1.5,0.384,150,49,0,0,49,0,No
"AT&T Services, Inc.",FLORIDA,1590636.8,DSL,6,1,1000,50,0,0,50,0,Yes
"AT&T Services, Inc.",FLORIDA,6362547.2,DSL,75,8,1000,80,0,0,80,0,Yes
"AT&T Services, Inc.",FLORIDA,6362547.2,DSL,3,1,150,54,0,0,54,0,Yes
"AT&T Services, Inc.",FLORIDA,6362547.2,DSL,6,1,150,59,0,0,59,0,Yes
"AT&T Services, Inc.",FLORIDA,6362547.2,DSL,45,6,1000,70,0,0,70,0,Yes
"AT&T Services, Inc.",FLORIDA,3181273.6,DSL,0.768,0.384,150,49,0,0,49,0,No
"AT&T Services, Inc.",FLORIDA,1590636.8,DSL,0.768,0.384,1000,50,0,0,50,0,No
"AT&T Services, Inc.",FLORIDA,3181273.6,DSL,1.5,0.384,150,49,0,0,49,0,No
"AT&T Services, Inc.",FLORIDA,2120849.06666667,DSL,18,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",FLORIDA,1590636.8,DSL,1.5,1,1000,50,0,0,50,0,No
"AT&T Services, Inc.",FLORIDA,2120849.06666667,DSL,12,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",FLORIDA,1590636.8,DSL,3,1,1000,50,0,0,50,0,Yes
"AT&T Services, Inc.",FLORIDA,2120849.06666667,DSL,24,3,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",GEORGIA,477940.950000001,FTTH,45,6,1000,70,0,0,70,0,Yes
"AT&T Services, Inc.",GEORGIA,477940.950000001,DSL,45,6,1000,70,0,0,70,0,Yes
"AT&T Services, Inc.",GEORGIA,191176.38,FTTH,6,1,1000,50,0,0,50,0,Yes
"AT&T Services, Inc.",GEORGIA,159313.65,FTTH,24,3,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",GEORGIA,191176.38,DSL,6,1,1000,50,0,0,50,0,Yes
"AT&T Services, Inc.",GEORGIA,1911763.8,DSL,3,1,150,54,0,0,54,0,Yes
"AT&T Services, Inc.",GEORGIA,477940.950000001,FTTH,75,8,1000,80,0,0,80,0,Yes
"AT&T Services, Inc.",GEORGIA,382352.760000001,DSL,3,1,1000,50,0,0,50,0,Yes
"AT&T Services, Inc.",GEORGIA,477940.950000001,DSL,75,8,1000,80,0,0,80,0,Yes
"AT&T Services, Inc.",GEORGIA,159313.65,DSL,24,3,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",GEORGIA,1911763.8,DSL,6,1,150,59,0,0,59,0,Yes
"AT&T Services, Inc.",GEORGIA,159313.65,FTTH,18,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",GEORGIA,382352.760000001,DSL,0.768,0.384,1000,50,0,0,50,0,No
"AT&T Services, Inc.",GEORGIA,382352.760000001,DSL,1.5,1,1000,50,0,0,50,0,No
"AT&T Services, Inc.",GEORGIA,159313.65,DSL,18,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",GEORGIA,955881.900000001,DSL,0.768,0.384,150,49,0,0,49,0,No
"AT&T Services, Inc.",GEORGIA,955881.900000001,DSL,1.5,0.384,150,49,0,0,49,0,No
"AT&T Services, Inc.",GEORGIA,159313.65,DSL,12,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",GEORGIA,1911763.8,FTTH,1000,940,Unlimited,99,0,0,99,0,Yes
"AT&T Services, Inc.",GEORGIA,159313.65,FTTH,12,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",INDIANA,636254.72,FTTH,18,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",INDIANA,3181273.6,DSL,0.768,0.384,150,49,0,0,49,0,No
"AT&T Services, Inc.",INDIANA,636254.72,DSL,24,3,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",INDIANA,636254.72,DSL,18,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",INDIANA,636254.72,FTTH,24,3,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",INDIANA,530212.266666667,DSL,12,1.5,1000,50,0,0,50,0,Yes
"AT&T Services, Inc.",INDIANA,1060424.53333333,DSL,1.5,1,1000,50,0,0,50,0,No
"AT&T Services, Inc.",INDIANA,1060424.53333333,DSL,0.768,0.384,1000,50,0,0,50,0,No
"AT&T Services, Inc.",INDIANA,636254.72,FTTH,12,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",INDIANA,1590636.8,DSL,45,6,1000,70,0,0,70,0,Yes
"AT&T Services, Inc.",INDIANA,6362547.2,DSL,6,1,150,59,0,0,59,0,Yes
"AT&T Services, Inc.",INDIANA,1590636.8,FTTH,75,8,1000,80,0,0,80,0,Yes
"AT&T Services, Inc.",INDIANA,3181273.6,DSL,1.5,0.384,150,49,0,0,49,0,No
"AT&T Services, Inc.",INDIANA,530212.266666667,DSL,6,1,1000,50,0,0,50,0,Yes
"AT&T Services, Inc.",INDIANA,530212.266666667,FTTH,6,1,1000,50,0,0,50,0,Yes
"AT&T Services, Inc.",INDIANA,1590636.8,FTTH,45,6,1000,70,0,0,70,0,Yes
"AT&T Services, Inc.",INDIANA,1590636.8,DSL,75,8,1000,80,0,0,80,0,Yes
"AT&T Services, Inc.",INDIANA,6362547.2,DSL,3,1,150,54,0,0,54,0,Yes
"AT&T Services, Inc.",INDIANA,1060424.53333333,DSL,3,1,1000,50,0,0,50,0,Yes
"AT&T Services, Inc.",KENTUCKY,1911763.8,DSL,6,1,150,59,0,0,59,0,Yes
"AT&T Services, Inc.",KENTUCKY,191176.38,DSL,6,1,1000,50,0,0,50,0,Yes
"AT&T Services, Inc.",KENTUCKY,191176.38,FTTH,6,1,1000,50,0,0,50,0,Yes
"AT&T Services, Inc.",KENTUCKY,477940.950000001,FTTH,75,8,1000,80,0,0,80,0,Yes
"AT&T Services, Inc.",KENTUCKY,477940.950000001,FTTH,45,6,1000,70,0,0,70,0,Yes
"AT&T Services, Inc.",KENTUCKY,955881.900000001,DSL,0.768,0.384,150,49,0,0,49,0,No
"AT&T Services, Inc.",KENTUCKY,477940.950000001,DSL,75,8,1000,80,0,0,80,0,Yes
"AT&T Services, Inc.",KENTUCKY,477940.950000001,DSL,45,6,1000,70,0,0,70,0,Yes
"AT&T Services, Inc.",KENTUCKY,382352.76,DSL,0.768,0.384,1000,50,0,0,50,0,No
"AT&T Services, Inc.",KENTUCKY,159313.65,FTTH,24,3,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",KENTUCKY,1911763.8,DSL,3,1,150,54,0,0,54,0,Yes
"AT&T Services, Inc.",KENTUCKY,159313.65,DSL,18,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",KENTUCKY,1911763.8,FTTH,100,100,1000,89,0,0,89,0,Yes
"AT&T Services, Inc.",KENTUCKY,955881.900000001,DSL,1.5,0.384,150,49,0,0,49,0,No
"AT&T Services, Inc.",KENTUCKY,382352.76,DSL,1.5,1,1000,50,0,0,50,0,No
"AT&T Services, Inc.",KENTUCKY,382352.76,DSL,3,1,1000,50,0,0,50,0,Yes
"AT&T Services, Inc.",KENTUCKY,159313.65,FTTH,12,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",KENTUCKY,159313.65,DSL,24,3,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",KENTUCKY,159313.65,FTTH,18,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",KENTUCKY,1911763.8,FTTH,1000,940,Unlimited,99,0,0,99,0,Yes
"AT&T Services, Inc.",KENTUCKY,159313.65,DSL,12,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",NEVADA,2120849.06666667,DSL,12,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",NEVADA,2120849.06666667,DSL,18,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",NEVADA,1590636.8,DSL,1.5,1,1000,50,0,0,50,0,No
"AT&T Services, Inc.",NEVADA,3181273.6,DSL,1.5,0.384,150,49,0,0,49,0,No
"AT&T Services, Inc.",NEVADA,6362547.2,DSL,45,6,1000,70,0,0,70,0,Yes
"AT&T Services, Inc.",NEVADA,6362547.2,DSL,6,1,150,59,0,0,59,0,Yes
"AT&T Services, Inc.",NEVADA,1590636.8,DSL,3,1,1000,50,0,0,50,0,Yes
"AT&T Services, Inc.",NEVADA,6362547.2,DSL,3,1,150,54,0,0,54,0,Yes
"AT&T Services, Inc.",NEVADA,2120849.06666667,DSL,24,3,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",NEVADA,3181273.6,DSL,0.768,0.384,150,49,0,0,49,0,No
"AT&T Services, Inc.",NEVADA,1590636.8,DSL,0.768,0.384,1000,50,0,0,50,0,No
"AT&T Services, Inc.",NEVADA,1590636.8,DSL,6,1,1000,50,0,0,50,0,Yes
"AT&T Services, Inc.",NEVADA,6362547.2,DSL,75,8,1000,80,0,0,80,0,Yes
"AT&T Services, Inc.",OHIO,191176.38,DSL,6,1,1000,50,0,0,50,0,Yes
"AT&T Services, Inc.",OHIO,1911763.8,DSL,6,1,150,59,0,0,59,0,Yes
"AT&T Services, Inc.",OHIO,477940.95,DSL,75,8,1000,80,0,0,80,0,Yes
"AT&T Services, Inc.",OHIO,477940.95,FTTH,75,8,1000,80,0,0,80,0,Yes
"AT&T Services, Inc.",OHIO,159313.65,FTTH,24,3,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",OHIO,159313.65,FTTH,12,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",OHIO,159313.65,DSL,24,3,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",OHIO,382352.76,DSL,0.768,0.384,1000,50,0,0,50,0,No
"AT&T Services, Inc.",OHIO,955881.9,DSL,1.5,0.384,150,49,0,0,49,0,No
"AT&T Services, Inc.",OHIO,382352.76,DSL,1.5,1,1000,50,0,0,50,0,No
"AT&T Services, Inc.",OHIO,1911763.8,FTTH,1000,940,1000,119,0,0,119,0,Yes
"AT&T Services, Inc.",OHIO,159313.65,DSL,12,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",OHIO,382352.76,DSL,3,1,1000,50,0,0,50,0,Yes
"AT&T Services, Inc.",OHIO,1911763.8,FTTH,100,100,1000,99,0,0,99,0,Yes
"AT&T Services, Inc.",OHIO,159313.65,FTTH,18,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",OHIO,1911763.8,DSL,3,1,150,54,0,0,54,0,Yes
"AT&T Services, Inc.",OHIO,477940.95,FTTH,45,6,1000,70,0,0,70,0,Yes
"AT&T Services, Inc.",OHIO,159313.65,DSL,18,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",OHIO,191176.38,FTTH,6,1,1000,50,0,0,50,0,Yes
"AT&T Services, Inc.",OHIO,955881.9,DSL,0.768,0.384,150,49,0,0,49,0,No
"AT&T Services, Inc.",OHIO,477940.95,DSL,45,6,1000,70,0,0,70,0,Yes
"AT&T Services, Inc.",TEXAS,159313.65,FTTH,24,3,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",TEXAS,636254.72,FTTH,6,1,1000,50,0,0,50,0,Yes
"AT&T Services, Inc.",TEXAS,6362547.2,DSL,3,1,150,54,0,0,54,0,Yes
"AT&T Services, Inc.",TEXAS,1590636.8,DSL,45,6,1000,70,0,0,70,0,Yes
"AT&T Services, Inc.",TEXAS,636254.72,DSL,12,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",TEXAS,636254.72,FTTH,12,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",TEXAS,636254.72,DSL,6,1,1000,50,0,0,50,0,Yes
"AT&T Services, Inc.",TEXAS,6362547.2,DSL,75,8,1000,80,0,0,80,0,Yes
"AT&T Services, Inc.",TEXAS,955881.9,DSL,0.768,0.384,150,49,0,0,49,0,No
"AT&T Services, Inc.",TEXAS,1590636.8,FTTH,45,6,1000,70,0,0,70,0,Yes
"AT&T Services, Inc.",TEXAS,159313.65,FTTH,18,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",TEXAS,159313.65,DSL,24,3,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",TEXAS,1272509.44,DSL,3,1,1000,50,0,0,50,0,Yes
"AT&T Services, Inc.",TEXAS,1272509.44,DSL,0.768,0.384,1000,50,0,0,50,0,No
"AT&T Services, Inc.",TEXAS,6362547.2,DSL,6,1,150,59,0,0,59,0,Yes
"AT&T Services, Inc.",TEXAS,382352.76,DSL,0.768,0.384,1000,50,0,0,50,0,No
"AT&T Services, Inc.",TEXAS,159313.65,DSL,12,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",TEXAS,382352.76,DSL,3,1,1000,50,0,0,50,0,Yes
"AT&T Services, Inc.",TEXAS,159313.65,FTTH,12,1.5,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",TEXAS,636254.72,DSL,24,3,1000,60,0,0,60,0,Yes
"AT&T Services, Inc.",TEXAS,3181273.6,DSL,0.768,0.384,150,49,0,0,49,0,No
"AT&T Services, Inc.",TEXAS,1272509.44,DSL,1.5,1,1000,50,0,0,50,0,No
